kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correct
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
1,1,1,10,11,stimuli/tunga_10.bmp,stimuli/tunga_11.bmp,1
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
2,0,-1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,1
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
1,1,1,10,11,stimuli/tunga_10.bmp,stimuli/tunga_11.bmp,1
1,1,1,10,11,stimuli/tunga_10.bmp,stimuli/tunga_11.bmp,1
1,0,1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,0
0,0,1,12,4,stimuli/tunga_12.bmp,stimuli/tunga_04.bmp,0
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
2,0,1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,0
1,0,1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,0
1,0,1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,0
2,0,1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,0
1,0,1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,0
0,1,1,4,12,stimuli/tunga_04.bmp,stimuli/tunga_12.bmp,1
0,1,-1,4,12,stimuli/tunga_04.bmp,stimuli/tunga_12.bmp,0
0,0,1,12,4,stimuli/tunga_12.bmp,stimuli/tunga_04.bmp,0
2,0,1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,0
1,1,1,10,11,stimuli/tunga_10.bmp,stimuli/tunga_11.bmp,1
1,0,-1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,1
2,0,1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,0
2,1,-1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,0
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
0,0,1,12,4,stimuli/tunga_12.bmp,stimuli/tunga_04.bmp,0
0,0,1,12,4,stimuli/tunga_12.bmp,stimuli/tunga_04.bmp,0
2,0,1,6,2,stimuli/tunga_06.bmp,stimuli/tunga_02.bmp,0
1,0,-1,11,10,stimuli/tunga_11.bmp,stimuli/tunga_10.bmp,1
2,1,1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,1
0,1,1,4,12,stimuli/tunga_04.bmp,stimuli/tunga_12.bmp,1
2,1,-1,2,6,stimuli/tunga_02.bmp,stimuli/tunga_06.bmp,0
0,1,1,4,12,stimuli/tunga_04.bmp,stimuli/tunga_12.bmp,1
